FSA,City
G3K,Val-Bélair South
G3L,Saint-Raymond
G3M,Donnacona
G3Z,Baie-Saint-Paul
G4A,Clermont
G4R,Sept-Îles Southeast
G4S,Sept-Îles Northwest
G4T,Les Îles-De-La- Madeleine
G4V,Sainte-Anne- Des-Monts
G4W,Matane
G4X,Gaspé
G4Z,Baie-Comeau Northeast
G5A,La Malbaie
G5B,Port-Cartier
G5C,Baie-Comeau Southwest
G5H,Mont-Joli
G5J,Amqui
G5L,Rimouski Central
G5M,Rimouski Northeast
G5N,Rimouski Southwest
G5R,Rivière-du-Loup
G5T,Degelis
G5V,Montmagny
G5X,Beauceville
G5Y,Saint-Georges Central
G5Z,Saint-Georges Southeast
G6A,Saint-Georges Northwest
G6B,Lac-Megantic
G6C,Pintendre
G6E,Sainte-Marie
G6G,Thetford Mines
G6H,Black Lake
G6J,Saint-Etienne- De-Lauzon
G6K,Saint- Redempteur
G6L,Plessisville
G6P,Victoriaville Central
G6R,Victoriaville South
G6S,Victoriaville East
G6T,Victoriaville Northwest
G6V,Lévis North
G6W,Lévis South
G6X,Charny
G6Z,Saint-Jean- Chrysostome
G7A,Saint-Nicolas
G7B,La Baie
G7G,Chicoutimi North
G7H,Chicoutimi East
G7J,Chicoutimi West
G7K,Chicoutimi Southwest
G7N,Laterrière
G7P,Saint-Ambroise
G7S,Jonquière Northeast
G7T,Jonquière Southeast
G7X,Jonquière Central
G7Y,Jonquière Southwest
G7Z,Jonquière Northwest
G8A,Jonquière West
G8B,Alma Southeast
G8C,Alma Southwest
G8E,Alma North
G8G,Métabetchouan- Lac-a-la-Croix
G8H,Roberval
G8J,Saint-Prime
G8K,Saint-Félicien
G8L,Dolbeau- Mistassini
G8M,Albanel
G8N,Hébertville
G8P,Chibougamau
G8T,Cap-de-la- Madeleine Central and southeast
G8V,Cap-de-la- Madeleine Northeast
G8W,Cap-de-la- Madeleine West
G8Y,Trois-Rivières Central
G8Z,Trois-Rivières Northeast
G9A,Trois-Rivières East
G9B,Trois-Rivières South
G9C,Trois-Rivières West
G9H,Becancour
G9N,Shawinigan Central
G9P,Shawinigan Southeast
G9R,Shawinigan Northwest
G9T,Grand-Mère
G9X,La Tuque
H0H,Reserved
H0M,Akwesasne Region
H1A,Pointe-Aux-Trembles
H1B,Montreal East
H1C,Rivière-des-Prairies Northeast
H1E,Rivière-Des-Prairies Southwest
H1G,Montreal North North
H1H,Montreal North South
H1J,Anjou West
H1K,Anjou East
H1L,Mercier North
H1M,Mercier West
H1N,Mercier Southeast
H1P,Saint-Léonard North
H1R,Saint-Léonard West
H1S,Saint-Léonard Southeast
H1T,Rosemont North
H1V,Maisonneuve
H1W,Hochelaga
H1X,Rosemont Central
H1Y,Rosemont South
H1Z,Saint-Michel West
H2A,Saint-Michel East
H2B,Ahuntsic North
H2C,Ahuntsic Central
H2E,Villeray Northeast
H2G,Petite-Patrie Northeast
H2H,Plateau Mont-Royal North
H2J,Plateau Mont-Royal North Central
H2K,Centre-Sud North
H2L,Centre-Sud South
H2M,Ahuntsic East
H2N,Ahuntsic Southeast
H2P,Villeray West
H2R,Villeray Southeast
H2S,Petite-Patrie Southwest
H2T,Plateau Mont-Royal West
H2V,Outremont
H2W,Plateau Mont-Royal South Central
H2X,Plateau Mont-Royal Southeast
H2Y,Old Montreal
H2Z,Downtown Montreal Northeast
H3A,Downtown Montreal North
H3B,Downtown Montreal East
H3C,Griffintown
H3E,L'Île-Des-Soeurs
H3G,Downtown Montreal Southeast
H3H,Downtown Montreal South & West
H3J,Petite-Bourgogne
H3K,Pointe-Saint-Charles
H3L,Ahuntsic Southwest
H3M,Cartierville Northeast
H3N,Parc-Extension
H3P,Mount Royal North
H3R,Mount Royal Central
H3S,Côte-des-Neiges North
H3T,Côte-des-Neiges Northeast
H3V,Côte-des-Neiges East
H3W,Côte-des-Neiges Southwest
H3X,Hampstead
H3Y,Westmount West
H3Z,Westmount East
H4A,Notre-Dame-de-GrÔce Northeast
H4B,Notre-Dame-de-GrÔce Southwest
H4C,Saint-Henri
H4E,Ville Émard
H4G,Verdun North
H4H,Verdun South
H4J,Cartierville Central
H4K,Cartierville Southwest
H4L,Saint-Laurent Inner Northeast
H4M,Saint-Laurent East
H4N,Saint-Laurent Outer Northeast
H4P,Mount Royal South
H4R,Saint-Laurent Central
H4S,Saint-Laurent Southwest
H4T,Saint-Laurent Southeast
H4V,Côte-Saint-Luc East
H4W,Côte-Saint-Luc West
H4X,Montreal West
H4Y,Dorval Central
H4Z,Tour de la Bourse
H5A,Place Bonaventure
H5B,Place Desjardins
H7A,Duvernay-Est
H7B,Saint-Franþois
H7C,Saint-Vincent-de-Paul
H7E,Duvernay
H7G,Pont-Viau
H7H,Auteuil West
H7J,Auteuil Northeast
H7K,Auteuil South
H7L,Sainte-Rose
H7M,Vimont
H7N,Laval-des-Rapides
H7P,Fabreville
H7R,Laval-sur-le-Lac
H7S,Chomedey Northeast
H7T,Chomedey Northwest
H7V,Chomedey East
H7W,Chomedey South
H7X,Sainte-Dorothée
H7Y,Îles-Laval
H8N,LaSalle Northwest
H8P,LaSalle Southeast
H8R,Saint-Pierre
H8S,Lachine East
H8T,Lachine West
H8Y,Roxboro
H8Z,Pierrefonds
H9A,Dollard-Des- Ormeaux Northwest
H9B,Dollard-Des- Ormeaux East
H9C,L'Île Bizard Northeast
H9E,L'Île-Bizard Southwest
H9G,Dollard-Des- Ormeaux Southwest
H9H,Sainte-Geneviève
H9J,Kirkland
H9K,Senneville
H9P,Dorval Outskirts
H9R,Pointe-Claire
H9S,L'Île-Dorval
H9W,Beaconsfield
H9X,Sainte-Anne-De- Bellevue
J0A,Centre-du- Québec-Sud
J0B,Estrie-Est
J0C,Centre-du- Québec-Ouest
J0E,Estrie-Ouest
J0G,Bois-Francs-Nord
J0H,Bois-Francs-Sud
J0J,Montérégie-Est
J0K,Lanaudière-Nord
J0L,Montérégie-Nord
J0M,Nunavik
J0N,Région d'Oka
J0P,Vaudreuil- Soulanges
J0R,Lanaudière-Sud
J0S,Montérégie- Ouest
J0T,Laurentides-Nord
J0V,Laurentides-Sud
J0W,Outaouais-Nord
J0X,Outaouais-Sud
J0Y,Abitibi- Témiscamingue- Est
J0Z,Abitibi- Témiscamingue- Ouest
J1A,Coaticook
J1E,Sherbrooke Northeast
J1G,Sherbrooke East
J1H,Sherbrooke Central
J1J,Sherbrooke North
J1K,Sherbrooke West
J1L,Sherbrooke Northwest
J1M,Sherbrooke Southeast
J1N,Rock Forest
J1S,Windsor
J1T,Asbestos
J1X,Magog
J1Z,Saint-Cyrille- De-Wendover
J2A,Drummondville Southeast
J2B,Drummondville South
J2C,Drummondville Central
J2E,Drummondville Northwest
J2G,Granby Central
J2H,Granby East
J2J,Granby West
J2K,Cowansville
J2L,Bromont
J2N,Farnham
J2R,Saint-Hyacinthe Northwest
J2S,Saint-Hyacinthe Southwest
J2T,Saint-Hyacinthe East
J2W,Saint-Luc
J2X,Saint-Jean- sur-Richelieu East
J2Y,Saint-Jean- sur-Richelieu West
J3A,Saint-Jean- sur-Richelieu North
J3B,Saint-Jean- sur-Richelieu Central
J3E,Sainte-Julie
J3G,Beloeil West
J3H,Beloeil East
J3L,Chambly
J3M,Marieville
J3N,Saint-Basile- Le-Grand
J3P,Sorel Central
J3R,Sorel Southwest
J3T,Nicolet
J3V,Saint-Bruno
J3X,Varennes
J3Y,Saint-Hubert Central
J3Z,Saint-Hubert East
J4B,Boucherville
J4G,Longueuil North
J4H,Longueuil West
J4J,Longueuil Central
J4K,Longueuil Southwest
J4L,Longueuil Southeast
J4M,Longueuil East
J4N,Longueuil Northeast
J4P,Saint-Lambert North
J4R,Saint-Lambert Central
J4S,Saint-Lambert South
J4T,Saint-Hubert West
J4V,Greenfield Park
J4W,Brossard Northwest
J4X,Brossard Southwest
J4Y,Brossard South
J4Z,Brossard Northeast
J5A,Saint-Constant
J5B,Delson
J5J,Saint-Sophie
J5K,Saint-Colomban
J5L,Saint-Jérôme West
J5M,Saint-Lin- Laurentides
J5R,La Prairie
J5T,Lavaltrie
J5V,Louiseville
J5W,L'Assomption
J5X,L'Épiphanie
J5Y,Repentigny Northeast
J5Z,Repentigny West
J6A,Repentigny South
J6E,Joliette
J6J,ChÔteauguay North
J6K,ChÔteauguay South
J6N,Beauharnois
J6R,Mercier
J6S,Salaberry-de- Valleyfield North
J6T,Salaberry-de- Valleyfield South
J6V,Terrebonne East
J6W,Terrebonne Central
J6X,Terrebonne Northwest
J6Y,Terrebonne Southwest
J6Z,Sainte-Thérèse- de-Blainville Northeast
J7A,Sainte-Thérèse- de-Blainville East
J7B,Sainte-Thérèse- de-Blainville North
J7C,Sainte-Thérèse- de-Blainville Northwest
J7E,Sainte-Thérèse- de-Blainville Central
J7G,Sainte-Thérèse- de-Blainville South
J7H,Sainte-Thérèse- de-Blainville Southwest
J7J,Mirabel Northeast
J7K,Mascouche Extremities
J7L,Mascouche Central
J7M,La Plaine
J7N,Mirabel Southwest
J7P,Saint-Eustache Northeast
J7R,Saint-Eustache Southwest
J7T,Vaudreuil- Dorion RCM
J7V,Vaudreuil- Dorion
J7X,Valleyfield
J7Y,Saint-Jérôme North
J7Z,Saint-Jérôme Southeast
J8A,Saint-Hippolyte
J8B,Sainte-Adèle
J8C,Sainte-Agathe- Des-Monts
J8E,Mont-Tremblant
J8G,Chatham
J8H,Lachute
J8L,Buckingham
J8M,Masson-Angers
J8N,Val-des-Monts
J8P,Gatineau Southeast
J8R,Gatineau Northeast
J8T,Gatineau Southwest
J8V,Gatineau Northwest
J8X,Hull Southeast
J8Y,Hull Central
J8Z,Hull North
J9A,Hull Southwest
J9B,Chelsea
J9E,Maniwaki
J9H,Aylmer South
J9J,Aylmer North
J9L,Mont-Laurier
J9P,Val-d'Or
J9T,Amos
J9V,Ville-Marie
J9X,Rouyn-Noranda South
J9Y,Rouyn-Noranda North
J9Z,La Sarre
S0A,Yorkton Region
S0C,Southeastern Saskatchewan
S0E,Eastern Saskatchewan
S0G,South Central Saskatchewan
S0H,Southern Saskatchewan
S0J,Northern Saskatchewan
S0K,Central Saskatchewan
S0L,Western Saskatchewan
S0M,Northwestern Saskatchewan
S0N,Southwestern Saskatchewan
S0P,Northeastern Saskatchewan
S2V,Buena Vista
S3N,Yorkton
S4A,Estevan
S4H,Weyburn
S4L,Regina East
S4N,Regina Northeast and East Central
S4P,Regina Central
S4R,Regina North Central
S4S,Regina South Saskatchewan Provincial Government
S4T,Regina West
S4V,Regina Southeast
S4W,Regina Southwest
S4X,Regina Northwest
S4Y,Regina Outer Northwest
S4Z,Regina Northeast
S6H,Moose Jaw Southeast
S6J,Moose Jaw Northeast
S6K,Moose Jaw West
S6V,Prince Albert Central
S6W,Prince Albert Southwest
S6X,Prince Albert East
S7H,Saskatoon East Central
S7J,Saskatoon South Central
S7K,Saskatoon North Central
S7L,Saskatoon West
S7M,Saskatoon Southwest
S7N,Saskatoon Northeast Central
S7P,Saskatoon North
S7R,Saskatoon Northwest
S7S,Saskatoon Northeast
S7T,Saskatoon South
S7V,Saskatoon Southeast
S9A,North Battleford
S9H,Swift Current
S9V,Lloydminster
S9X,Meadow Lake
Y0A,Southeastern Yukon
Y0B,Central Yukon
Y1A,Whitehorse
X0G,Southwestern Northwest Territories
